iter	Passed	Remaining
0	132	132419
1	133	66844
2	134	44826
3	135	33755
4	136	27100
5	136	22670
6	137	19478
7	137	17083
8	138	15223
9	138	13734
10	139	12513
11	139	11496
12	140	10635
13	140	9897
14	140	9257
15	141	8698
16	141	8205
17	142	7773
18	143	7387
19	143	7041
20	144	6727
21	145	6446
22	145	6185
23	146	5940
24	146	5714
25	146	5506
26	147	5312
27	147	5132
28	148	4970
29	148	4814
30	149	4668
31	149	4532
32	150	4409
33	150	4288
34	151	4173
35	151	4064
36	152	3964
37	152	3867
38	153	3776
39	153	3688
40	154	3604
41	154	3525
42	155	3450
43	155	3378
44	155	3309
45	156	3243
46	156	3180
47	157	3120
48	158	3067
49	158	3015
50	159	2961
51	159	2910
52	160	2861
53	160	2814
54	161	2769
55	161	2725
56	162	2682
57	162	2640
58	163	2600
59	163	2561
60	163	2523
61	164	2486
62	164	2453
63	165	2422
64	166	2388
65	166	2356
66	167	2325
67	167	2294
68	167	2265
69	168	2236
70	168	2208
71	169	2181
72	169	2154
73	170	2128
74	170	2103
75	170	2078
76	171	2054
77	171	2031
78	172	2010
79	172	1988
80	173	1966
81	173	1946
82	174	1923
83	174	1903
84	175	1883
85	175	1864
86	176	1847
87	176	1829
88	177	1811
89	177	1794
90	177	1776
91	178	1760
92	178	1744
93	179	1729
94	179	1714
95	180	1698
96	180	1683
97	181	1668
98	181	1653
99	182	1639
100	182	1625
101	183	1611
102	183	1597
103	183	1584
104	184	1571
105	184	1558
106	185	1546
107	185	1534
108	186	1522
109	186	1511
110	187	1499
111	187	1488
112	188	1476
113	188	1466
114	189	1455
115	189	1444
116	189	1433
117	190	1422
118	190	1412
119	191	1403
120	192	1396
121	192	1388
122	193	1382
123	194	1375
124	195	1367
125	195	1357
126	196	1348
127	196	1339
128	197	1330
129	197	1321
130	197	1312
131	198	1304
132	198	1295
133	199	1287
134	199	1279
135	200	1271
136	200	1263
137	201	1256
138	201	1249
139	202	1241
140	202	1234
141	202	1226
142	203	1219
143	204	1213
144	204	1206
145	205	1199
146	205	1192
147	206	1185
148	206	1180
149	207	1174
150	208	1169
151	208	1164
152	209	1158
153	209	1152
154	210	1145
155	210	1139
156	211	1133
157	211	1127
158	212	1121
159	212	1115
160	212	1108
161	213	1103
162	213	1097
163	214	1091
164	214	1086
165	215	1080
166	215	1076
167	216	1070
168	216	1065
169	217	1060
170	217	1055
171	218	1049
172	218	1044
173	218	1039
174	219	1034
175	219	1029
176	220	1024
177	220	1019
178	221	1014
179	221	1011
180	223	1009
181	223	1005
182	224	1001
183	224	997
184	225	992
185	225	988
186	226	983
187	226	979
188	227	974
189	227	970
190	228	966
191	228	961
192	228	957
193	229	953
194	230	949
195	230	945
196	230	941
197	231	939
198	232	937
199	233	934
200	234	930
201	234	926
202	235	922
203	235	918
204	236	915
205	236	911
206	237	909
207	238	909
208	239	907
209	240	905
210	241	902
211	242	899
212	242	896
213	243	892
214	243	889
215	243	885
216	244	882
217	245	879
218	245	875
219	246	872
220	246	868
221	246	865
222	247	861
223	247	858
224	248	855
225	248	851
226	249	848
227	249	845
228	250	841
229	250	838
230	250	835
231	251	833
232	252	830
233	252	827
234	253	824
235	253	821
236	254	818
237	254	815
238	255	812
239	255	809
240	255	806
241	256	803
242	256	800
243	257	797
244	257	794
245	258	791
246	258	788
247	259	786
248	259	783
249	260	780
250	260	778
251	261	775
252	261	772
253	262	769
254	262	767
255	263	764
256	263	761
257	263	758
258	264	756
259	264	753
260	265	750
261	265	748
262	266	746
263	267	744
264	267	743
265	268	741
266	269	739
267	269	736
268	270	734
269	270	732
270	271	729
271	271	727
272	272	724
273	272	722
274	273	720
275	273	718
276	274	715
277	274	713
278	275	711
279	275	708
280	276	706
281	276	704
282	277	701
283	277	699
284	277	697
285	278	694
286	278	692
287	279	690
288	279	688
289	280	686
290	280	684
291	281	682
292	282	680
293	282	678
294	283	676
295	283	674
296	284	672
297	284	670
298	284	668
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	290	645
310	290	643
311	291	641
312	291	639
313	291	637
314	292	635
315	292	633
316	293	631
317	293	630
318	294	628
319	294	626
320	295	624
321	295	622
322	296	621
323	296	619
324	297	617
325	297	615
326	298	614
327	298	612
328	299	610
329	299	608
330	300	606
331	300	604
332	300	602
333	301	601
334	301	599
335	302	597
336	302	596
337	303	594
338	303	592
339	304	590
340	304	589
341	305	587
342	305	585
343	306	583
344	306	582
345	307	580
346	307	578
347	307	576
348	308	575
349	308	573
350	309	571
351	309	570
352	310	568
353	310	566
354	310	564
355	311	563
356	312	562
357	312	560
358	313	558
359	313	557
360	313	555
361	314	553
362	314	552
363	315	550
364	315	549
365	316	547
366	316	546
367	317	544
368	317	543
369	318	541
370	318	540
371	319	538
372	319	537
373	319	535
374	320	533
375	320	532
376	321	530
377	321	529
378	322	527
379	322	526
380	322	524
381	323	523
382	323	521
383	324	520
384	324	519
385	325	517
386	325	516
387	326	514
388	326	513
389	327	512
390	327	510
391	328	509
392	328	507
393	329	506
394	329	504
395	330	503
396	330	502
397	330	500
398	331	499
399	332	498
400	332	497
401	334	497
402	334	496
403	335	495
404	336	493
405	336	492
406	336	490
407	337	489
408	337	488
409	338	486
410	338	485
411	339	484
412	339	482
413	340	481
414	340	480
415	341	478
416	341	477
417	342	476
418	342	475
419	343	473
420	343	472
421	344	471
422	344	469
423	344	468
424	345	467
425	346	466
426	346	465
427	347	463
428	347	462
429	347	461
430	348	459
431	348	458
432	349	457
433	349	456
434	350	454
435	350	453
436	351	452
437	351	451
438	351	449
439	352	448
440	352	447
441	353	446
442	353	444
443	354	443
444	354	442
445	355	441
446	355	439
447	356	438
448	356	437
449	357	436
450	357	435
451	358	434
452	358	433
453	359	432
454	359	430
455	360	429
456	361	429
457	365	432
458	365	431
459	366	430
460	366	428
461	367	427
462	367	426
463	368	425
464	368	424
465	369	423
466	369	422
467	370	420
468	370	419
469	371	418
470	371	417
471	372	416
472	372	415
473	373	414
474	373	413
475	374	411
476	374	410
477	375	409
478	375	408
479	376	407
480	376	406
481	376	405
482	377	403
483	377	402
484	378	401
485	378	400
486	379	399
